Date,mes,building,contents,profits,total,Anio,frecuencia
03/01/1980,1,1.09809663,0.5856515,0,1.683748,1980,166
04/01/1980,1,1.75695461,0.3367496,0,2.093704,1980,170
05/01/1980,1,1.73258126,0,0,1.732581,1980,181
07/01/1980,1,0,1.305376,0.47437775,1.779754,1980,160
07/01/1980,1,1.24450952,3.367496,0,4.612006,1980,156
10/01/1980,1,4.45203953,4.273234,0,8.725274,1980,207
10/01/1980,1,2.49487555,3.543192,1.86090776,7.898975,1980,238
16/01/1980,1,0.7756896,0.9931171,0.43923865,2.208045,1980,
16/01/1980,1,0.81259151,0.6734993,0,1.486091,1980,
19/01/1980,1,2.37157394,0.1683748,0.25622255,2.796171,1980,
21/01/1980,1,0,7.320644,0,7.320644,1980,
21/01/1980,1,3.36749634,0,0,3.367496,1980,
24/01/1980,1,1.46412884,0,0,1.464129,1980,
25/01/1980,1,1.72222255,0,0,1.722223,1980,
26/01/1980,1,6.91800878,4.456808,0,11.374817,1980,
26/01/1980,1,1.602306,0.8804334,0,2.482739,1980,
28/01/1980,1,18.30161054,7.913031,0,26.214641,1980,
03/02/1980,2,1.54562225,0.4568082,0,2.00243,1980,
05/02/1980,2,4.39238653,0.1376281,0,4.530015,1980,
07/02/1980,2,1.12098829,0.7207643,0,1.841753,1980,
10/02/1980,2,3.80673499,0,0,3.806735,1980,
13/02/1980,2,10.2489019,3.873174,0,14.122076,1980,
16/02/1980,2,3.08164714,2.342606,0,5.424253,1980,
19/02/1980,2,2.92825769,8.784773,0,11.713031,1980,
20/02/1980,2,0.95900439,0.556369,0,1.515373,1980,
21/02/1980,2,2.53858858,0,0,2.538589,1980,
22/02/1980,2,1.75695461,0.2928258,0,2.04978,1980,
23/02/1980,2,3.80673499,8.658858,0,12.465593,1980,
25/02/1980,2,1.7354451,0,0,1.735445,1980,
27/02/1980,2,0.5124451,1.171303,0,1.683748,1980,
07/03/1980,3,0.66774963,2.436483,0.21961933,3.323852,1980,
13/03/1980,3,1.67461201,0.07320644,0.07320644,1.821025,1980,
13/03/1980,3,0.07320644,2.342606,0,2.415813,1980,
13/03/1980,3,0,1.464129,0,1.464129,1980,
17/03/1980,3,4.39238653,0.8978638,0.58565154,5.875902,1980,
20/03/1980,3,1.79243924,0,0,1.792439,1980,
21/03/1980,3,3.33821376,0,0,3.338214,1980,
22/03/1980,3,1.58448755,0,0,1.584488,1980,
26/03/1980,3,0.62265593,1.308665,0,1.931321,1980,
06/04/1980,4,2.04978038,0,0,2.04978,1980,
10/04/1980,4,1.57375842,0,0,1.573758,1980,
11/04/1980,4,1.75695461,0,0,1.756955,1980,
14/04/1980,4,4.93118594,0,0,4.931186,1980,
15/04/1980,4,5.41727672,0,0,5.417277,1980,
16/04/1980,4,0.73206442,0.8052709,0,1.537335,1980,
25/04/1980,4,17.56954612,0,0,17.569546,1980,
25/04/1980,4,1.69112299,0,0,1.691123,1980,
26/04/1980,4,1.58161201,0,0,1.581612,1980,
01/05/1980,5,0.36901903,1.098097,0,1.467116,1980,
01/05/1980,5,1.02489019,1.02489,0,2.04978,1980,
02/05/1980,5,1.08898975,0.8397218,0,1.928712,1980,
02/05/1980,5,2.12430307,1.138851,0,3.263154,1980,
04/05/1980,5,0.89897511,0.8052709,0,1.704246,1980,
07/05/1980,5,2.07460761,0,0,2.074608,1980,
09/05/1980,5,1.09809663,2.196193,0,3.29429,1980,
10/05/1980,5,1.83997511,0,0,1.839975,1980,
16/05/1980,5,7.32064422,0,0,7.320644,1980,
18/05/1980,5,5.85651537,1.464129,0,7.320644,1980,
20/05/1980,5,1.57621523,0,0,1.576215,1980,
20/05/1980,5,4.8560981,0,0,4.856098,1980,
21/05/1980,5,1.54227526,0,0,1.542275,1980,
26/05/1980,5,9.3250366,4.295754,0,13.620791,1980,
29/05/1980,5,0.73206442,1.02489,0,1.756955,1980,
29/05/1980,5,1.6398243,0,0,1.639824,1980,
02/06/1980,6,2.03637775,0,0,2.036378,1980,
03/06/1980,6,7.32064422,14.64129,0,21.961933,1980,
11/06/1980,6,1.79902635,0,0,1.799026,1980,
12/06/1980,6,2.30600293,0.1464129,0,2.452416,1980,
15/06/1980,6,1.24450952,1.424597,0,2.669107,1980,
15/06/1980,6,2.02414641,0,0,2.024146,1980,
16/06/1980,6,0.61200586,1.112738,0,1.724744,1980,
17/06/1980,6,1.64386384,0,0,1.643864,1980,
21/06/1980,6,1.17130307,0.7906296,0,1.961933,1980,
30/06/1980,6,3.80673499,0.8199122,0,4.626647,1980,
02/07/1980,7,1.46412884,0,0,1.464129,1980,
04/07/1980,7,0.94670571,2.060029,0.95651537,3.96325,1980,
04/07/1980,7,1.1132123,4.45064,0,5.563852,1980,
07/07/1980,7,0,4.392387,0,4.392387,1980,
10/07/1980,7,3.64031332,0,0,3.640313,1980,
12/07/1980,7,1.29575403,0.3821376,0,1.677892,1980,
14/07/1980,7,1.15666179,0.2928258,0,1.449488,1980,
15/07/1980,7,95.16837482,106.1493,61.93265007,263.250366,1980,
25/07/1980,7,0,2.500732,0,2.500732,1980,
26/07/1980,7,1.58272328,0.05270864,0.19033675,1.825769,1980,
26/07/1980,7,9.88286969,0,0,9.88287,1980,
28/07/1980,7,1.04852123,1.098097,0,2.146618,1980,
29/07/1980,7,0,2.870259,0,2.870259,1980,
07/08/1980,8,4.27804246,1.157665,0.88420644,6.319914,1980,
08/08/1980,8,2.1234612,0,0,2.123461,1980,
08/08/1980,8,2.48901903,0.4348463,0,2.923865,1980,
11/08/1980,8,1.03672767,0.867877,0.1317716,2.036376,1980,
18/08/1980,8,0.05270864,1.683748,0,1.736457,1980,
18/08/1980,8,2.04978038,0,0,2.04978,1980,
20/08/1980,8,1.9033675,0,0,1.903367,1980,
21/08/1980,8,1.61054173,0,0,1.610542,1980,
23/08/1980,8,1.46412884,0.2532943,0,1.717423,1980,
23/08/1980,8,0,2.375512,0.75392533,3.129438,1980,
27/08/1980,8,1.45166471,0.6002928,0,2.051958,1980,
28/08/1980,8,1.9675183,0,0,1.967518,1980,
28/08/1980,8,0.5124451,1.590044,0,2.102489,1980,
28/08/1980,8,0,2.380673,0.87847731,3.259151,1980,
30/08/1980,8,1.99853587,0,0,1.998536,1980,
30/08/1980,8,0.14641288,5.270864,0,5.417277,1980,
02/09/1980,9,2.81983602,0,0,2.819836,1980,
04/09/1980,9,3.27298536,0,0.4240981,3.697083,1980,
05/09/1980,9,1.75695461,0.2884334,0,2.045388,1980,
05/09/1980,9,2.67935578,0,0,2.679356,1980,
08/09/1980,9,0.55595461,2.064999,0.80527086,3.426224,1980,
11/09/1980,9,1.31771596,0.2708638,0,1.58858,1980,
12/09/1980,9,1.33461347,2.928258,0,4.262871,1980,
12/09/1980,9,1.24341435,0.5124451,0,1.755859,1980,
14/09/1980,9,1.98700586,0,0,1.987006,1980,
15/09/1980,9,1.66192533,0,0,1.661925,1980,
15/09/1980,9,5.41727672,2.196193,0,7.61347,1980,
15/09/1980,9,1.79487848,0,0,1.794878,1980,
15/09/1980,9,5.02767204,1.464129,0.18301611,6.674817,1980,
25/09/1980,9,0.23426061,1.893119,0.05856515,2.185944,1980,
28/09/1980,9,0,3.855051,0,3.855051,1980,
30/09/1980,9,0.43923865,2.342606,0.43923865,3.221083,1980,
01/10/1980,10,0.65885798,1.171303,0.29282577,2.122987,1980,
01/10/1980,10,0,1.467466,0.29282577,1.760291,1980,
06/10/1980,10,1.57313177,0.3953148,0.07320644,2.041653,1980,
07/10/1980,10,3.75593851,0,0,3.755939,1980,
07/10/1980,10,1.75695461,0.4851567,0,2.242111,1980,
08/10/1980,10,1.32579795,0.3953148,0,1.721113,1980,
09/10/1980,10,1.46412884,0,0,1.464129,1980,
12/10/1980,10,2.51569839,2.196193,0,4.711892,1980,
14/10/1980,10,2.1538243,0,0,2.153824,1980,
16/10/1980,10,0.87847731,1.512748,1.48358712,3.874813,1980,
17/10/1980,10,11.31039531,7.759883,0,19.070278,1980,
20/10/1980,10,1.75695461,0.1171303,0.01317716,1.887262,1980,
23/10/1980,10,0.5124451,0.9516837,0,1.464129,1980,
24/10/1980,10,1.53616398,0,0,1.536164,1980,
25/10/1980,10,2.56006589,0,0,2.560066,1980,
27/10/1980,10,1.31771596,1.481991,0,2.799707,1980,
29/10/1980,10,1.68374817,0.329429,0,2.013177,1980,
30/10/1980,10,1.3909224,0.07320644,0,1.464129,1980,
05/11/1980,11,3.66032211,2.664714,0,6.325037,1980,
07/11/1980,11,1.56730015,0,0,1.5673,1980,
09/11/1980,11,0,2.196193,0,2.196193,1980,
10/11/1980,11,1.61054173,0.7247438,0,2.335286,1980,
13/11/1980,11,1.53001464,0.5856515,0,2.115666,1980,
14/11/1980,11,0.75219766,0.717347,0,1.469545,1980,
18/11/1980,11,2.19619327,3.206442,0,5.402635,1980,
18/11/1980,11,5.3147877,0,0,5.314788,1980,
19/11/1980,11,1.31771596,1.554905,0,2.872621,1980,
20/11/1980,11,0,2.781845,0,2.781845,1980,
25/11/1980,11,2.57682138,0,0,2.576821,1980,
06/12/1980,12,3.10102489,0,0,3.101025,1980,
07/12/1980,12,0,1.464129,0,1.464129,1980,
08/12/1980,12,1.46412884,0.5856515,0,2.04978,1980,
09/12/1980,12,1.24450952,0.7174231,0,1.961933,1980,
09/12/1980,12,0,1.464129,0,1.464129,1980,
09/12/1980,12,2.04978038,0.5856515,0,2.635432,1980,
10/12/1980,12,0,1.464129,0,1.464129,1980,
10/12/1980,12,3.66032211,2.196193,0,5.856515,1980,
12/12/1980,12,2.66899122,0.4848873,0.14041142,3.29429,1980,
14/12/1980,12,1.26024158,1.260615,0,2.520857,1980,
17/12/1980,12,7.32064422,12.15227,0,19.472914,1980,
17/12/1980,12,1.31771596,0.5177467,0,1.835463,1980,
19/12/1980,12,2.04978038,0,0,2.04978,1980,
23/12/1980,12,2.78330893,0,0,2.783309,1980,
25/12/1980,12,1.75695461,1.02489,0,2.781845,1980,
26/12/1980,12,1.75695461,0,0,1.756955,1980,
27/12/1980,12,2.48901903,0.3513909,0,2.84041,1980,
31/12/1980,12,1.46412884,0.8667643,0,2.330893,1980,
01/01/1981,1,1.28440367,0.3407602,0.1310616,1.756225,1981,
01/01/1981,1,1.04849279,0.266055,0,1.314548,1981,
01/01/1981,1,0.5953211,1.80865,0,2.403971,1981,
03/01/1981,1,3.14547837,3.770152,0,6.91563,1981,
07/01/1981,1,1.4918768,0,0,1.491877,1981,
17/01/1981,1,1.53239581,0,0,1.532396,1981,
23/01/1981,1,1.87386107,0,0,1.873861,1981,
26/01/1981,1,1.44167759,0.3735256,0,1.815203,1981,
31/01/1981,1,5.89777195,2.359109,0,8.256881,1981,
02/02/1981,2,1.41020446,0,0,1.410204,1981,
07/02/1981,2,1.28919397,0.9174312,0,2.206625,1981,
10/02/1981,2,4.91480996,29.22674,0,34.141547,1981,
10/02/1981,2,2.44331062,0,0,2.443311,1981,
13/02/1981,2,3.59436959,0,0,3.59437,1981,
13/02/1981,2,1.96592398,0.406291,0,2.372215,1981,
15/02/1981,2,0.5242464,3.145478,0,3.669725,1981,
17/02/1981,2,0.99068152,5.242464,0.655308,6.888453,1981,
19/02/1981,2,1.80209699,0,0,1.802097,1981,
19/02/1981,2,1.44167759,0,0,1.441678,1981,
23/02/1981,2,2.68676278,5.570118,0.91743119,9.174312,1981,
27/02/1981,2,1.70380079,0.3931848,0,2.096986,1981,
01/03/1981,3,0.3931848,1.376147,1.04521625,2.814548,1981,
01/03/1981,3,1.32317693,0.3617261,0,1.684903,1981,
04/03/1981,3,1.44167759,0.4941022,0.163827,2.099607,1981,
09/03/1981,3,2.62123198,0,0,2.621232,1981,
10/03/1981,3,1.31061599,0.0655308,0,1.376147,1981,
12/03/1981,3,0.65530799,0.9239843,0.08519004,1.664482,1981,
13/03/1981,3,1.96592398,0.3931848,0,2.359109,1981,
16/03/1981,3,4.13648755,0,0,4.136488,1981,
19/03/1981,3,1.39439581,0,0,1.394396,1981,
23/03/1981,3,1.31061599,0.491481,0,1.802097,1981,
24/03/1981,3,1.33682831,0.4823067,0,1.819135,1981,
24/03/1981,3,0.33420708,0.9764089,0.20314548,1.513761,1981,
27/03/1981,3,3.01965924,0.06111402,0,3.080773,1981,
01/04/1981,4,7.20838794,13.76147,0,20.969856,1981,
10/04/1981,4,1.57273919,2.621232,0,4.193971,1981,
13/04/1981,4,1.17955439,0.6820891,0,1.861644,1981,
18/04/1981,4,1.96592398,0.5307995,0,2.496723,1981,
20/04/1981,4,0,1.477193,0.73658847,2.213781,1981,
20/04/1981,4,2.62123198,2.621232,0,5.242464,1981,
22/04/1981,4,1.32225426,0,0,1.322254,1981,
23/04/1981,4,2.09698558,6.159895,0.2948886,8.551769,1981,
24/04/1981,4,1.96592398,0,0,1.965924,1981,
25/04/1981,4,2.62123198,10.27392,0,12.895151,1981,
26/04/1981,4,1.39580603,0.3931848,0,1.788991,1981,
26/04/1981,4,1.89936959,0.2774574,0,2.176827,1981,
27/04/1981,4,8.01484928,0.7627785,0,8.777628,1981,
27/04/1981,4,1.38269987,0.4325033,0,1.815203,1981,
29/04/1981,4,1.68314024,0,0,1.68314,1981,
29/04/1981,4,1.31061599,2.332896,0,3.643512,1981,
02/05/1981,5,0.52555701,1.087811,0,1.613368,1981,
03/05/1981,5,0.94364351,0.5242464,0,1.46789,1981,
05/05/1981,5,1.40560419,0,0,1.405604,1981,
06/05/1981,5,1.54806422,1.572739,0,3.120803,1981,
11/05/1981,5,1.59818087,0,0,1.598181,1981,
13/05/1981,5,1.57273919,2.228047,0,3.800786,1981,
14/05/1981,5,1.51008912,0,0,1.510089,1981,
16/05/1981,5,1.17955439,0.3931848,0,1.572739,1981,
16/05/1981,5,1.69899083,0.1310616,0,1.830052,1981,
21/05/1981,5,2.62123198,0,0,2.621232,1981,
21/05/1981,5,2.33072739,0.4757536,0,2.806481,1981,
23/05/1981,5,0.78636959,0.5714286,0,1.357798,1981,
24/05/1981,5,0.98951507,0.6290957,0,1.618611,1981,
25/05/1981,5,0.65530799,1.310616,0,1.965924,1981,
28/05/1981,5,2.76015727,0.2621232,0,3.02228,1981,
29/05/1981,5,2.62123198,53.60419,0,56.225426,1981,
31/05/1981,5,4.58715596,0.3931848,0,4.980341,1981,
02/06/1981,6,1.98716252,0,0,1.987163,1981,
14/06/1981,6,1.96592398,0,0,1.965924,1981,
16/06/1981,6,2.71129227,0,0,2.711292,1981,
17/06/1981,6,1.70380079,0.1965924,0,1.900393,1981,
18/06/1981,6,1.39580603,0.327654,0,1.72346,1981,
18/06/1981,6,1.57273919,0,0,1.572739,1981,
19/06/1981,6,1.37614679,0.327654,0,1.703801,1981,
19/06/1981,6,2.32634338,0.6933159,0,3.019659,1981,
21/06/1981,6,1.83486239,0,0,1.834862,1981,
24/06/1981,6,0.69724771,0.7221494,0,1.419397,1981,
29/06/1981,6,3.93184797,0.4587156,0,4.390564,1981,
30/06/1981,6,5.24246396,2.621232,0,7.863696,1981,
01/07/1981,7,0.5242464,1.048493,0,1.572739,1981,
01/07/1981,7,1.33661337,0,0,1.336613,1981,
05/07/1981,7,1.70380079,0,0,1.703801,1981,
07/07/1981,7,1.96592398,0.6696986,0,2.635623,1981,
10/07/1981,7,1.43564875,0.4290695,0,1.864718,1981,
11/07/1981,7,1.44167759,0.01607733,0,1.457755,1981,
11/07/1981,7,5.89777195,1.415465,0.24508519,7.558322,1981,
12/07/1981,7,1.68281782,0.0927405,0.25583879,2.031397,1981,
20/07/1981,7,0.98296199,0.3669725,0,1.349934,1981,
26/07/1981,7,1.12505898,0.3414155,0.00838794,1.474862,1981,
28/07/1981,7,3.40760157,1.310616,0.3931848,5.111402,1981,
30/07/1981,7,5.24246396,0,0,5.242464,1981,
31/07/1981,7,1.31061599,0.1310616,0,1.441678,1981,
04/08/1981,8,3.93613893,0,0,3.936139,1981,
05/08/1981,8,4.06290957,0,0,4.06291,1981,
11/08/1981,8,0.98296199,0.3931848,0,1.376147,1981,
19/08/1981,8,1.59895151,0.08519004,0,1.684142,1981,
19/08/1981,8,1.18947837,0.1787693,0.07237222,1.44062,1981,
25/08/1981,8,1.36454915,0,0,1.364549,1981,
25/08/1981,8,0,1.572739,0,1.572739,1981,
27/08/1981,8,2.18542202,0,0,2.185422,1981,
27/08/1981,8,3.281346,0,0,3.281346,1981,
27/08/1981,8,1.36310092,0,0,1.363101,1981,
28/08/1981,8,1.70380079,0.2228047,0.1965924,2.123198,1981,
28/08/1981,8,2.09698558,0.5373526,0,2.634338,1981,
28/08/1981,8,1.83486239,0.2634338,0,2.098296,1981,
29/08/1981,8,1.63826999,1.402898,0.3931848,3.434353,1981,
01/09/1981,9,1.31276278,0.1660328,0,1.478796,1981,
02/09/1981,9,1.31061599,1.310616,0,2.621232,1981,
03/09/1981,9,2.75229358,0.249017,0,3.001311,1981,
04/09/1981,9,1.42973394,0,0,1.429734,1981,
06/09/1981,9,8.12581913,2.096986,0,10.222805,1981,
09/09/1981,9,1.39549803,1.183898,0,2.579396,1981,
09/09/1981,9,1.75535911,0,0,1.755359,1981,
10/09/1981,9,1.47340498,0,0,1.473405,1981,
11/09/1981,9,1.17955439,0.7732634,0,1.952818,1981,
14/09/1981,9,1.77986894,0,0,1.779869,1981,
15/09/1981,9,1.98686239,0,0,1.986862,1981,
16/09/1981,9,1.53997379,0.3997379,0,1.939712,1981,
17/09/1981,9,1.67590039,0,0,1.6759,1981,
17/09/1981,9,0,1.572739,0,1.572739,1981,
19/09/1981,9,1.83486239,0.03473132,0.655308,2.524902,1981,
19/09/1981,9,14.02359109,0,0.655308,14.678899,1981,
20/09/1981,9,2.0904325,0.7470511,0.1965924,3.034076,1981,
21/09/1981,9,1.04849279,0.9305374,0,1.97903,1981,
22/09/1981,9,4.62714286,1.310616,0,5.937759,1981,
26/09/1981,9,0.3931848,1.048493,0,1.441678,1981,
29/09/1981,9,0,2.621232,0,2.621232,1981,
01/10/1981,10,1.70380079,0.3342071,0,2.038008,1981,
03/10/1981,10,0.47837484,2.49017,0.78636959,3.754915,1981,
07/10/1981,10,1.96592398,0.4718218,0,2.437746,1981,
07/10/1981,10,1.70203145,0,0,1.702031,1981,
11/10/1981,10,5.48341153,1.626459,0,7.10987,1981,
15/10/1981,10,2.01965924,0,0,2.019659,1981,
17/10/1981,10,1.85049017,0,0,1.85049,1981,
18/10/1981,10,1.21887287,0.1970773,0,1.41595,1981,
22/10/1981,10,2.24115334,3.800786,1.65137615,7.693316,1981,
25/10/1981,10,1.44167759,1.572739,0,3.014417,1981,
27/10/1981,10,1.37614679,0.3931848,0.5897772,2.359109,1981,
28/10/1981,10,1.00253866,0.5897772,0,1.592316,1981,
01/11/1981,11,1.03538663,0.3538663,0,1.389253,1981,
01/11/1981,11,1.33296855,0,0,1.332969,1981,
03/11/1981,11,1.17955439,0.2437746,0,1.423329,1981,
03/11/1981,11,0.99198952,1.330274,0.655308,2.977571,1981,
05/11/1981,11,1.38735518,0,0,1.387355,1981,
05/11/1981,11,0.8768021,0.5281782,0,1.40498,1981,
08/11/1981,11,1.96592398,0.655308,0,2.621232,1981,
13/11/1981,11,2.44429882,1.179554,0.655308,4.279161,1981,
15/11/1981,11,1.57273919,0.0327654,0,1.605505,1981,
16/11/1981,11,1.70380079,0.3079948,0,2.011796,1981,
17/11/1981,11,1.31061599,0.9567497,0,2.267366,1981,
17/11/1981,11,1.46465007,0,0,1.46465,1981,
19/11/1981,11,1.27707995,2.096986,0,3.374066,1981,
22/11/1981,11,0.35187418,1.138925,0,1.490799,1981,
24/11/1981,11,1.57273919,0.5242464,0,2.096986,1981,
25/11/1981,11,1.09979685,0.4703696,0,1.570166,1981,
25/11/1981,11,1.04849279,0.327654,0,1.376147,1981,
01/12/1981,12,2.62123198,0.5242464,0,3.145478,1981,
07/12/1981,12,8.45373526,0,0,8.453735,1981,
10/12/1981,12,0.80523591,2.228047,0,3.033283,1981,
13/12/1981,12,0.0982962,1.965924,0,2.06422,1981,
14/12/1981,12,5.24246396,1.179554,0,6.422018,1981,
14/12/1981,12,1.89878768,0,0,1.898788,1981,
18/12/1981,12,1.31061599,0.1795544,0,1.49017,1981,
21/12/1981,12,2.88335518,47.18218,0,50.065531,1981,
21/12/1981,12,1.44167759,0.1179554,0,1.559633,1981,
22/12/1981,12,0,1.965924,0,1.965924,1981,
28/12/1981,12,1.80005242,0,0,1.800052,1981,
29/12/1981,12,2.09698558,0.327654,0,2.42464,1981,
29/12/1981,12,0,1.310616,0,1.310616,1981,
31/12/1981,12,1.31061599,0.3014417,0,1.612058,1981,
06/01/1982,1,2.08085612,2.140309,0,4.221165,1982,
08/01/1982,1,0.78478002,0.4756243,0,1.260404,1982,
08/01/1982,1,1.11802616,0.2856671,0,1.403693,1982,
09/01/1982,1,1.07015458,0.2271106,0,1.297265,1982,
13/01/1982,1,1.66698098,0.2605113,0,1.927492,1982,
13/01/1982,1,1.42687277,0.488585,0,1.915458,1982,
14/01/1982,1,1.20745184,0,0,1.207452,1982,
17/01/1982,1,0,5.698583,0,5.698583,1982,
21/01/1982,1,1.72413793,0.1783591,0,1.902497,1982,
22/01/1982,1,0.71343639,0.475698,0,1.189134,1982,
22/01/1982,1,1.73569322,8.442331,0,10.178024,1982,
22/01/1982,1,0,0.3602449,1.24183472,1.60208,1982,
24/01/1982,1,0,4.161712,0,4.161712,1982,
28/01/1982,1,2.36304994,0,0,2.36305,1982,
29/01/1982,1,1.90740428,0.05763971,0,1.965044,1982,
01/02/1982,2,1.62689298,0.3190892,0,1.945982,1982,
01/02/1982,2,2.85374554,0,0,2.853746,1982,
03/02/1982,2,0.921522,0.280918,0,1.20244,1982,
04/02/1982,2,3.92390012,6.896552,0,10.820452,1982,
04/02/1982,2,1.58876338,0,0,1.588763,1982,
04/02/1982,2,1.65045184,0.4458977,0,2.09635,1982,
05/02/1982,2,4.75624257,0,0.71343639,5.469679,1982,
07/02/1982,2,1.10225922,0.7907253,0,1.892985,1982,
08/02/1982,2,1.4863258,0.5469679,0,2.033294,1982,
09/02/1982,2,0.65398335,0.9512485,0,1.605232,1982,
16/02/1982,2,1.20689655,0.196195,0,1.403092,1982,
22/02/1982,2,0.9274673,0.2675386,0,1.195006,1982,
25/02/1982,2,2.85374554,0.39239,0,3.246136,1982,
27/02/1982,2,1.26312247,0,0,1.263122,1982,
27/02/1982,2,0.59453032,2.378121,0,2.972652,1982,
28/02/1982,2,1.1038799,0.1010702,0,1.20495,1982,
28/02/1982,2,1.88127348,0,0,1.881273,1982,
28/02/1982,2,1.18906064,0.5945303,0,1.783591,1982,
07/03/1982,3,1.78359096,2.140309,0,3.9239,1982,
07/03/1982,3,1.90249703,0,0,1.902497,1982,
10/03/1982,3,1.6646849,0,0,1.664685,1982,
10/03/1982,3,1.4801736,2.972652,0,4.452825,1982,
19/03/1982,3,1.20471463,0.1189061,0,1.323621,1982,
20/03/1982,3,1.18906064,0.4161712,0,1.605232,1982,
22/03/1982,3,9.6313912,15.33888,0,24.970273,1982,
25/03/1982,3,2.73483948,0,0,2.734839,1982,
29/03/1982,3,1.78359096,0,0,1.783591,1982,
05/04/1982,4,0.91914388,0.7134364,0.1783591,1.810939,1982,
05/04/1982,4,1.08204518,1.032105,0,2.11415,1982,
11/04/1982,4,1.30796671,0.08323424,0,1.391201,1982,
12/04/1982,4,1.34601665,0,0,1.346017,1982,
12/04/1982,4,1.50738407,0,0,1.507384,1982,
14/04/1982,4,1.10814507,0.8323424,0,1.940488,1982,
14/04/1982,4,2.37812128,0.1533294,0.03834721,2.569798,1982,
18/04/1982,4,1.58076576,0,0,1.580766,1982,
18/04/1982,4,1.40903686,0.078478,0,1.487515,1982,
20/04/1982,4,0,1.307967,0.21403092,1.521998,1982,
21/04/1982,4,1.44351962,0.2473246,0,1.690844,1982,
22/04/1982,4,0,1.783591,0,1.783591,1982,
24/04/1982,4,1.12514031,0.1337253,0,1.258866,1982,
24/04/1982,4,1.57374792,0,0,1.573748,1982,
24/04/1982,4,1.22829964,0.2390012,0,1.467301,1982,
25/04/1982,4,2.71370511,0,0,2.713705,1982,
25/04/1982,4,2.6646849,0.07134364,0,2.736029,1982,
27/04/1982,4,1.45659929,0,0,1.456599,1982,
28/04/1982,4,2.13743163,0,0,2.137432,1982,
28/04/1982,4,2.37812128,0.1009691,0,2.47909,1982,
01/05/1982,5,0,1.783591,0.59453032,2.378121,1982,
01/05/1982,5,1.07015458,3.567182,0,4.637337,1982,
02/05/1982,5,0.59453032,0.5945303,0,1.189061,1982,
03/05/1982,5,1.54577883,0,0,1.545779,1982,
08/05/1982,5,1.90249703,0.4399524,0,2.342449,1982,
12/05/1982,5,0,2.337693,0,2.337693,1982,
16/05/1982,5,0.68370987,0.6539834,0.05945303,1.397146,1982,
23/05/1982,5,0.65398335,3.567182,0,4.221165,1982,
31/05/1982,5,1.54577883,0.0941736,0,1.639952,1982,
03/06/1982,6,1.18906064,0.02972652,0,1.218787,1982,
06/06/1982,6,0.83234245,2.853746,0,3.686088,1982,
07/06/1982,6,2.49702735,0,0,2.497027,1982,
08/06/1982,6,2.49702735,0,0,2.497027,1982,
10/06/1982,6,0.95124851,2.972652,1.30796671,5.231867,1982,
10/06/1982,6,0.83234245,0.4756243,0,1.307967,1982,
11/06/1982,6,1.26812485,0,0,1.268125,1982,
16/06/1982,6,1.6646849,0.5005945,0,2.165279,1982,
