Date,mes,building,contents,profits,total,Año,frecuencia
03/01/1988,1,1.18456078,0.4338953,0,1.618456,1988,210
01/01/1988,1,0.75244011,0.2750665,0,1.027507,1988,234
03/01/1988,1,2.21827862,10.64774,3.54924579,16.415262,1988,
04/01/1988,1,1.50842946,0,0,1.508429,1988,
08/01/1988,1,0,1.153505,0.53238687,1.685892,1988,
10/01/1988,1,1.33096717,0,0,1.330967,1988,
15/01/1988,1,1.33096717,0.8873114,0.08873115,2.30701,1988,
19/01/1988,1,1.20053239,0.7196096,0,1.920142,1988,
20/01/1988,1,3.77107365,0,0,3.771074,1988,
21/01/1988,1,0.26619343,0.621118,0.26619343,1.153505,1988,
22/01/1988,1,0,5.094055,0,5.094055,1988,
23/01/1988,1,0.39574091,2.560781,0,2.956522,1988,
23/01/1988,1,1.68589175,0.1126886,0,1.79858,1988,
23/01/1988,1,1.02040816,0.5323869,0,1.552795,1988,
25/01/1988,1,0.7985803,0.4436557,0.08873115,1.330967,1988,
26/01/1988,1,1.74711624,0.1401952,0,1.887311,1988,
29/01/1988,1,0,0.8873114,0.88731145,1.774623,1988,
30/01/1988,1,0.97604259,0.3549246,0,1.330967,1988,
01/02/1988,2,1.13575865,3.549246,1.33096717,6.015972,1988,
06/02/1988,2,2.21827862,1.043478,0,3.261757,1988,
09/02/1988,2,1.03460515,0.1322094,0,1.166815,1988,
10/02/1988,2,2.48447205,0.03637977,0,2.520852,1988,
11/02/1988,2,0.93167702,0.3620231,0,1.2937,1988,
14/02/1988,2,15.52795031,2.896185,0,18.424135,1988,
17/02/1988,2,1.06477374,0,0,1.064774,1988,
19/02/1988,2,0,1.511979,0.44365572,1.955634,1988,
19/02/1988,2,0,1.597161,0.44365572,2.040816,1988,
21/02/1988,2,3.10559006,4.880213,0,7.985803,1988,
22/02/1988,2,3.31144632,0.1854481,0,3.496894,1988,
29/02/1988,2,2.04081633,4.470275,0,6.511091,1988,
29/02/1988,2,1.15350488,0.1064774,0,1.259982,1988,
02/03/1988,3,1.50842946,0.2502218,0.09494233,1.853594,1988,
03/03/1988,3,0.08873114,1.464064,0,1.552795,1988,
07/03/1988,3,1.24755989,0.01952085,0,1.267081,1988,
08/03/1988,3,1.86335404,0.2661934,0,2.129547,1988,
09/03/1988,3,1.50842946,1.131322,0.06654836,2.7063,1988,
12/03/1988,3,0.4880213,1.064774,0,1.552795,1988,
12/03/1988,3,0,0.8873114,0.44365572,1.330967,1988,
14/03/1988,3,1.02395741,0.4436557,0,1.467613,1988,
14/03/1988,3,1.15350488,1.153505,0,2.30701,1988,
18/03/1988,3,1.50842946,0.3992902,0,1.90772,1988,
19/03/1988,3,0.88731145,0.3549246,0,1.242236,1988,
21/03/1988,3,0.60780834,0.6033718,0,1.21118,1988,
24/03/1988,3,1.99645075,0,0,1.996451,1988,
25/03/1988,3,7.09849157,17.74623,13.3096717,38.154392,1988,
06/04/1988,4,1.24223602,0.7098492,0.17746229,2.129547,1988,
09/04/1988,4,0,2.484472,0,2.484472,1988,
12/04/1988,4,1.57497782,0.1153505,0,1.690328,1988,
13/04/1988,4,1.76574978,0,0,1.76575,1988,
14/04/1988,4,1.29015084,0.2484472,0,1.538598,1988,
14/04/1988,4,1.24223602,0,0.44365572,1.685892,1988,
16/04/1988,4,1.24223602,0,0,1.242236,1988,
19/04/1988,4,1.33096717,0,0,1.330967,1988,
20/04/1988,4,0,1.982254,0,1.982254,1988,
20/04/1988,4,1.68589175,0.1774623,0,1.863354,1988,
23/04/1988,4,1.88553682,0,0,1.885537,1988,
24/04/1988,4,3.10559006,1.394854,0.70984916,5.210293,1988,
24/04/1988,4,1.15350488,0,0,1.153505,1988,
24/04/1988,4,0.90150843,0.8873114,0,1.78882,1988,
26/04/1988,4,5.7675244,0,0,5.767524,1988,
26/04/1988,4,1.33096717,0,0,1.330967,1988,
26/04/1988,4,2.21827862,3.726708,0.88731145,6.832298,1988,
29/04/1988,4,0.4880213,0.7409051,0.13309672,1.362023,1988,
29/04/1988,4,0,2.661934,0.88731145,3.549246,1988,
30/04/1988,4,1.10913931,0.2661934,0,1.375333,1988,
30/04/1988,4,1.95208518,0.3549246,0,2.30701,1988,
08/05/1988,5,0.53238687,1.597161,0.53238687,2.661934,1988,
08/05/1988,5,7.54214729,0,0,7.542147,1988,
09/05/1988,5,4.08163265,0.6237799,0.97604259,5.681455,1988,
09/05/1988,5,3.90417036,3.771074,1.55279503,9.228039,1988,
11/05/1988,5,1.08074534,0,0,1.080745,1988,
11/05/1988,5,1.6122449,0,0,1.612245,1988,
12/05/1988,5,0,1.242236,0,1.242236,1988,
12/05/1988,5,1.22892635,0.1277728,0,1.356699,1988,
12/05/1988,5,1.50842946,0,0,1.508429,1988,
13/05/1988,5,1.5971606,0.7098492,0,2.30701,1988,
15/05/1988,5,1.19787045,0.1774623,0,1.375333,1988,
16/05/1988,5,0.31055901,0.621118,0.62111801,1.552795,1988,
17/05/1988,5,6.04259095,17.74623,3.54924579,27.338066,1988,
19/05/1988,5,0.44365572,0.4436557,0.35048802,1.237799,1988,
23/05/1988,5,1.06477374,0.1109139,0.01685892,1.192547,1988,
25/05/1988,5,1.27772848,0,0,1.277728,1988,
26/05/1988,5,1.33096717,0,0,1.330967,1988,
26/05/1988,5,1.33096717,6.21118,0,7.542147,1988,
27/05/1988,5,1.86335404,0.2271517,0.13309672,2.223602,1988,
27/05/1988,5,0,0.8873114,0.26619343,1.153505,1988,
29/05/1988,5,1.33096717,0.4569654,0,1.787933,1988,
29/05/1988,5,0.70984916,0.7275954,0,1.437445,1988,
29/05/1988,5,5.7675244,0.3726708,0,6.140195,1988,
30/05/1988,5,1.37533274,0.2413487,0,1.616681,1988,
31/05/1988,5,2.09405501,0,0,2.094055,1988,
31/05/1988,5,2.48447205,9.31677,0,11.801242,1988,
01/06/1988,6,2.83939663,0.1330967,0,2.972493,1988,
03/06/1988,6,0.70984916,1.242236,0,1.952085,1988,
03/06/1988,6,2.21827862,0.2253771,0.04436557,2.488021,1988,
05/06/1988,6,3.99290151,0,0,3.992902,1988,
05/06/1988,6,1.5971606,0.6255546,0,2.222715,1988,
05/06/1988,6,6.65483585,17.74623,0.88731145,25.288376,1988,
06/06/1988,6,2.44010648,0,0,2.440106,1988,
06/06/1988,6,3.54924579,0.1774623,0,3.726708,1988,
06/06/1988,6,0,2.865129,0.88731145,3.75244,1988,
10/06/1988,6,1.64152618,0,0,1.641526,1988,
13/06/1988,6,0.7985803,0.1774623,0.26619343,1.242236,1988,
15/06/1988,6,1.24223602,0,0,1.242236,1988,
16/06/1988,6,0.44365572,3.992902,0,4.436557,1988,
21/06/1988,6,1.06477374,0,0,1.064774,1988,
21/06/1988,6,0.22182786,0.7098492,0.26619343,1.19787,1988,
24/06/1988,6,1.86335404,0.5323869,0,2.395741,1988,
24/06/1988,6,0.88731145,4.880213,4.43655723,10.204082,1988,
29/06/1988,6,1.77462289,0,0,1.774623,1988,
29/06/1988,6,2.32031943,0,0,2.320319,1988,
29/06/1988,6,0.70984916,1.597161,0,2.30701,1988,
01/07/1988,7,0.73291925,0.3549246,0,1.087844,1988,
01/07/1988,7,0.87843833,0.2644188,0,1.142857,1988,
01/07/1988,7,1.15350488,0,0,1.153505,1988,
01/07/1988,7,1.44543035,0.4214729,0,1.866903,1988,
02/07/1988,7,2.48447205,0,0,2.484472,1988,
04/07/1988,7,2.57320319,0,0,2.573203,1988,
05/07/1988,7,0.81277728,0.3087844,0,1.121562,1988,
06/07/1988,7,5.32386868,0.6654836,0,5.989352,1988,
08/07/1988,7,2.10292813,0.4063886,0,2.509317,1988,
09/07/1988,7,0.94498669,0.3833185,0,1.328305,1988,
12/07/1988,7,0.76131322,0.2839397,0,1.045253,1988,
14/07/1988,7,1.3877551,0,0,1.387755,1988,
16/07/1988,7,0,1.064774,0.08873115,1.153505,1988,
18/07/1988,7,1.2866016,0,0,1.286602,1988,
18/07/1988,7,0.75421473,0.2928128,0,1.047028,1988,
19/07/1988,7,1.41969831,2.661934,0.53238687,4.61402,1988,
19/07/1988,7,10.69210293,3.10559,6.65483585,20.452529,1988,
19/07/1988,7,2.21827862,0,0,2.218279,1988,
20/07/1988,7,1.77462289,2.661934,0.88731145,5.323869,1988,
26/07/1988,7,0.88731145,0.3291925,0,1.216504,1988,
30/07/1988,7,1.77462289,4.436557,0.88731145,7.098492,1988,
08/08/1988,8,0,0.9760426,0.35492458,1.330967,1988,
09/08/1988,8,1.77462289,0,0,1.774623,1988,
10/08/1988,8,2.33007986,0.5048802,0.17746229,3.012422,1988,
12/08/1988,8,34.60514641,9.207631,3.20674357,47.019521,1988,
15/08/1988,8,0.19520852,0.7275954,0.17746229,1.100266,1988,
18/08/1988,8,0.97604259,0.6415262,0.69210293,2.309672,1988,
21/08/1988,8,0.90505768,0.2404614,0,1.145519,1988,
21/08/1988,8,1.24223602,0.133984,0,1.37622,1988,
22/08/1988,8,0.93966282,0.2031943,0,1.142857,1988,
24/08/1988,8,1.86335404,0.1455191,0.88731145,2.896185,1988,
24/08/1988,8,0.88731145,0.8873114,0,1.774623,1988,
29/08/1988,8,1.35403727,0,0,1.354037,1988,
01/09/1988,9,5.05767524,1.774623,17.74622893,24.578527,1988,
04/09/1988,9,0.53682343,1.724933,0,2.261757,1988,
05/09/1988,9,4.43655723,0,0,4.436557,1988,
05/09/1988,9,0.88731145,0.461402,0,1.348713,1988,
06/09/1988,9,3.10559006,6.566105,6.21118012,15.882875,1988,
06/09/1988,9,0.26619343,0.7542147,0,1.020408,1988,
08/09/1988,9,0.97604259,0.2866016,0,1.262644,1988,
08/09/1988,9,0.39929015,1.508429,0.75421473,2.661934,1988,
09/09/1988,9,0.95031056,0.1011535,0,1.051464,1988,
11/09/1988,9,1.33096717,0.5323869,0.08873115,1.952085,1988,
14/09/1988,9,0.31055901,0.6477374,0.39929015,1.357587,1988,
17/09/1988,9,1.33096717,0.310559,0,1.641526,1988,
18/09/1988,9,1.33096717,4.436557,1.77462289,7.542147,1988,
19/09/1988,9,2.21827862,0,0,2.218279,1988,
19/09/1988,9,3.54924579,1.330967,0.62111801,5.501331,1988,
20/09/1988,9,1.67701863,0.5252884,0.00887311,2.21118,1988,
22/09/1988,9,0,1.477374,0,1.477374,1988,
27/09/1988,9,1.33096717,0.310559,0,1.641526,1988,
27/09/1988,9,0.22182786,0.7098492,0.08873115,1.020408,1988,
01/10/1988,10,3.28305235,0,0,3.283052,1988,
04/10/1988,10,5.54569654,15.97161,4.43655723,25.95386,1988,
04/10/1988,10,1.06477374,0,0,1.064774,1988,
08/10/1988,10,2.57320319,0.8873114,0.62111801,4.081633,1988,
08/10/1988,10,1.65661047,0.5536823,0.07808341,2.288376,1988,
17/10/1988,10,0.8296362,0.2200532,0.05057675,1.100266,1988,
20/10/1988,10,2.66193434,0.176575,0,2.838509,1988,
20/10/1988,10,2.0851819,0.3549246,0.75421473,3.194321,1988,
23/10/1988,10,0.97604259,0.621118,0,1.597161,1988,
28/10/1988,10,0,1.774623,0,1.774623,1988,
29/10/1988,10,1.33096717,0.2573203,0.13309672,1.721384,1988,
02/11/1988,11,0,1.712511,0.62111801,2.333629,1988,
03/11/1988,11,3.69565217,0.7985803,0,4.494232,1988,
05/11/1988,11,5.7675244,1.330967,1.77462289,8.873114,1988,
05/11/1988,11,2.54924579,0.1268855,0,2.676131,1988,
07/11/1988,11,0,1.058563,0.08873115,1.147294,1988,
07/11/1988,11,1.33096717,0,0,1.330967,1988,
10/11/1988,11,1.50842946,0,0,1.508429,1988,
11/11/1988,11,1.24223602,0,0,1.242236,1988,
14/11/1988,11,0.70984916,0.3992902,0,1.109139,1988,
18/11/1988,11,0.44365572,5.767524,0,6.21118,1988,
19/11/1988,11,1.46406389,0.1330967,0.13309672,1.730257,1988,
19/11/1988,11,1.15350488,0,0,1.153505,1988,
20/11/1988,11,0.4880213,0.5678793,0,1.055901,1988,
21/11/1988,11,1.71251109,0.1668146,0,1.879326,1988,
23/11/1988,11,0.08873114,1.313221,0,1.401952,1988,
26/11/1988,11,0.97604259,0.4436557,0,1.419698,1988,
27/11/1988,11,0,2.715173,0,2.715173,1988,
02/12/1988,12,0.62111801,2.661934,0.7985803,4.081633,1988,
02/12/1988,12,1.75244011,0,0,1.75244,1988,
05/12/1988,12,0.66548358,0.4232476,0,1.088731,1988,
06/12/1988,12,0,1.330967,2.21827862,3.549246,1988,
06/12/1988,12,1.28305235,0,0,1.283052,1988,
08/12/1988,12,0.84294587,1.330967,0,2.173913,1988,
09/12/1988,12,1.86335404,0.9760426,0,2.839397,1988,
12/12/1988,12,0,3.10559,0.26619343,3.371783,1988,
12/12/1988,12,1.33096717,0,0,1.330967,1988,
14/12/1988,12,2.66193434,1.330967,0.62111801,4.61402,1988,
15/12/1988,12,4.43655723,5.323869,1.06477374,10.8252,1988,
16/12/1988,12,0,4.436557,1.33096717,5.767524,1988,
17/12/1988,12,0.84294587,0.2661934,0,1.109139,1988,
17/12/1988,12,8.87311446,14.19698,7.98580302,31.055901,1988,
18/12/1988,12,1.77462289,0.7763975,0.55456965,3.10559,1988,
18/12/1988,12,1.33096717,0,0,1.330967,1988,
25/12/1988,12,1.33096717,0.3549246,0,1.685892,1988,
25/12/1988,12,0,3.992902,0,3.992902,1988,
02/01/1989,1,1.12870449,0.7121084,0,1.840813,1989,
03/01/1989,1,1.02286198,0.1329382,0.12701101,1.282811,1989,
05/01/1989,1,4.91109229,0.465707,0,5.376799,1989,
09/01/1989,1,0.22692633,1.134632,0,1.361558,1989,
11/01/1989,1,0.67739204,0.296359,0.08467401,1.058425,1989,
11/01/1989,1,0.63505504,0.3683319,0,1.003387,1989,
14/01/1989,1,2.20152413,0.508044,0.25402202,2.96359,1989,
15/01/1989,1,1.16342083,0.05165114,0.05588484,1.270957,1989,
15/01/1989,1,1.27011008,0.635055,0,1.905165,1989,
